PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
cup;cup (US);unit of the volume according to the Anglo-American system of units with the relation according to NIST: 1cup (US) = 236,588 2 millilitres;NIST Special Publication 811:1995;1 cup (Imp.) = 2 gill (Imp.) = 10 fluid ounce (Imp.) = 80 fluid drachm (Imp.) = 4800 drop (Imp.) = 17,338715625 cubic inch = 284,130642624675 millilitres;;;;cup;G21;cup (U.S.);;0173-1#05-AAA363#003;volume or section modulus
conventional centimetre of water;cmH₂O;not SI conform unit of the pressure, that corresponds with the static pressure generated by a water column with the height of 1 centimetre;NIST Special Publication 811:1995;;;;cm H2O;conventional centimetre of water;H78;;;0173-1#05-AAA364#004;mechanical tension
square centimetre;cm²;0,001 fold of the power of the SI base unit metre with the exponent 2;;;cm²;square centimetre;cm²;square centimetre;CMK;;;0173-1#05-AAA365#003;surface
gram per kelvin;g/K;0,001 fold of the SI base unit kilogram divided by the SI base unit kelvin;;;g/K;gram per kelvin;g K⁻¹;gram per kelvin;F14;;;0173-1#05-AAA366#003;temperature-based mass
ohm per metre;Ω/m;SI derived unit ohm divided by the SI base unit metre;;;Ω/m;ohm per metre;Ω m⁻¹;ohm per metre;H26;;;0173-1#05-AAA367#004;lineic resistance
mole per kilogram;mol/kg;SI base unit mol divided by the SI base unit kilogram;;;mol/kg;mole per kilogram;mol kg⁻¹;mole per kilogram;C19;mole per kilogram;;0173-1#05-AAA368#003;ionic strength
cubic metre per kelvin;m³/K;power of the SI base unit metre with the exponent 3 divided by the SI base unit kelvin;;;m³/K;cubic metre per kelvin;m³ K⁻¹;cubic metre per kelvin;G29;;;0173-1#05-AAA369#003;temperature-related volume
reciprocal mole;mol⁻¹;reciprocal of the SI base unit mol;;;mol⁻¹;reciprocal mole;mol⁻¹;reciprocal mole;C95;;;0173-1#05-AAA371#003;molar density
voltampere reactive;var;unit with special name for reactive power;;1 var = 1 W;var;voltampere reactive;var;voltampere reactive;D44;;;0173-1#05-AAA372#003;reactive power
mebibit per metre;Mibit/m;1 048 576 fold of the unit bit divided by the SI base unit metre;;;Mibit/m;mebibit per metre;Mibit m⁻¹;mebibit per metre;E75;;;0173-1#05-AAA373#003;lineic data volume
kilogram per hour kelvin;(kg/h)/K;SI base unit kilogram divided by the product out of the unit hour and the SI base unit kelvin;;;kg/(h.K);kilogram per hour kelvin;kg h⁻¹ K⁻¹;kilogram per hour kelvin;F40;;;0173-1#05-AAA374#003;temperature-based mass flow rate
microbecquerel;µBq;0,000 001 fold of the SI derived unit becquerel;;;µBq;microbecquerel;µBq;microbecquerel;H08;;;0173-1#05-AAA375#003;radioactivity
cubic metre per day bar;(m³/d)/bar;power of the SI base unit metre with the exponent 3 divided by the product out of the unit day and the unit bar;;;m³/(d.bar);cubic metre per day bar;m³ d⁻¹ bar⁻¹;cubic metre per day bar;G86;;;0173-1#05-AAA376#003;pressure-based volume flow
pound per square foot;lb/ft²;unit of the mass avoirdupois pound according to the avoirdupois system of units divided by the power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 2;;;;;lb/ft²;pound per square foot;FP;;;0173-1#05-AAA377#005;areic mass
joule per cubic metre;J/m³;SI derived unit joule divided by the power of the SI base unit metre with the exponent 3;DIN 1301-2, ISO 1000;;J/m³;joule per cubic metre;J m⁻³;joule per cubic metre;B8;joule per cubic meter;;0173-1#05-AAA378#003;energy density
milligram per kelvin;mg/K;0,000 001 fold of the SI base unit kilogram divided by the SI base unit kelvin;;;mg/K;milligram per kelvin;mg K⁻¹;milligram per kelvin;F16;;;0173-1#05-AAA380#003;temperature-based mass
cubic inch per hour;in³/h;power of the unit inch according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the unit hour;;;;;;cubic inch per hour;G56;;;0173-1#05-AAA381#003;volume flow rate or volume velocity
reciprocal second per steradian;s⁻¹/sr;reciprocal of the SI base unit second divided by the SI derived unit steradian;DIN 1301-2, ISO 1000;;s⁻¹/sr;reciprocal second reciprocal steradian;s⁻¹ sr⁻¹;reciprocal second per steradian;D1;;;0173-1#05-AAA382#003;photon intensity
kilogram per mole;kg/mol;SI base unit kilogram divided by the SI base unit mol;DIN 1301-2, ISO 1000;;kg/mol;kilogram per mole;kg mol⁻¹;kilogram per mole;D74;kilogram per mole;;0173-1#05-AAA383#003;molar mass
weber;Wb;SI derived unit with special name, for which the following relation applies: 1 Wb = 1 V·s  = 1 m²·kg·s⁻²·A⁻¹;;;Wb;weber;Wb;weber;WEB;weber;;0173-1#05-AAA384#003;magnetic flux
gram per second;g/s;0,001 fold of the SI base unit kilogram divided by the SI base unit second;;;g/s;gram per second;g s⁻¹;gram per second;F29;;;0173-1#05-AAA385#003;mass flow rate
kilopascal per bar;kPa/bar;1000 fold of the SI derived unit pascal divided by the unit bar;;;kPa/bar;kilopascal per bar;kPa bar⁻¹;kilopascal per bar;F03;;;0173-1#05-AAA386#003;pressure ratio
newton per square millimetre;N/mm²;SI derived unit newton divided by the 0,000 001 fold of the power of the SI base unit metre with the exponent 2;;;N/mm²;newton per square millimetre;N mm⁻²;newton per square millimetre;C56;;;0173-1#05-AAA387#003;mechanical tension
big point;bp;unit for the type size correspondening to: 1 bp = 1/72 in;;;;;pb;big point;H82;;;0173-1#05-AAA388#005;distance
megametre;Mm;1 000 000 fold of the SI base unit metre;;;Mm;megametre;Mm;megametre;MAM;;;0173-1#05-AAA389#003;distance
hour;h;3 600 fold of the SI base unit second;;do not use with SI prefixes;h;hour;h;hour;HUR;hour;;0173-1#05-AAA390#003;time
milligram per cubic metre;mg/m³;0,000001 fold of the SI base unit kilogram divided by the power of the SI base unit metre with the exponent 3;;;mg/m³;milligram per cubic metre;mg m⁻³;milligram per cubic metre;GP;;;0173-1#05-AAA391#003;density
kilobit per second;kbit/s;1000 fold of the unit bit divided by the SI base unit second;;;kbit/s;kilobit per second;kbit s⁻¹;kilobit per second;C74;;;0173-1#05-AAA392#004;bit transmission rate
phon;phon;psychoacoustical unit for the loudness level, to describe the emotionally sense of the sound level, with which a human will understand an acoustic noise event as an hearing event;DIN 1320:1997-06;The loudness level in phon has the same numerical value as the sound pressure level in dB of a free propagating sinusoidal sound wave with a frequency of 1 kHz, which is experienced by listeners as having the same loudness as the sound to be examined.;phon;phon;phon;phon;C69;phon;;0173-1#05-AAA393#003;loudness level
gibibit per square metre;Gibit/m²;1 073 741 824 fold of the unit bit divided by the power of the SI base unit metre with the exponent 2;;;Gibit/m²;gibibit per square metre;Gibit m⁻²;gibibit per square metre;E70;;;0173-1#05-AAA394#003;areic data volume
megasiemens per metre;MS/m;1 000 000 fold of the SI derived unit siemens divided by the SI base unit metre;;;MS/m;megasiemens per metre;MS m⁻¹;megasiemens per metre;B77;;;0173-1#05-AAA395#003;conductivity
pascal second per metre;Pa·s/m;product of the SI derived unit pascal and the SI base unit second divided by the SI base unit metre;;;Pa·s/m;pascal second per metre;Pa s m⁻¹;pascal second per metre;C67;;;0173-1#05-AAA396#003;surge impedance of the medium
coulomb;C;SI derived unit with special name, for which the following relation applies: 1 C = 1 A·s;SI brochure, DIN 1301-1, DIN 1301-2, ISO 1000;;C;coulomb;C;coulomb;COU;coulomb;;0173-1#05-AAA397#003;electric charge
reciprocal cubic metre;1/m³;reciprocal of the power of the SI base unit metre with the exponent 3;DIN 1301-2, ISO 1000;;m⁻³;reciprocal cubic metre;m⁻³;reciprocal cubic metre;C86;reciprocal cubic meter;;0173-1#05-AAA398#003;volumetric entity density
megahertz kilometre;MHz·km;product of the 1 000 000 fold of the SI derived unit hertz and the 1 000 fold of the SI base unit metre;;;MHz·km;megahertz kilometre;MHz km;megahertz kilometre;H39;;;0173-1#05-AAA399#004;bandwidth length product
bar cubic metre per second;bar·m³/s;product of the unit bar and the power of the SI base unit metre with the exponent 3 divided by the SI base unit second;;;bar.m³/s;bar cubic metre per second;bar m³ s⁻¹;bar cubic metre per second;F92;;;0173-1#05-AAA400#003;gas leak rate
kilogram per litre bar;(kg/l)/bar;SI base unit kilogram divided by the product out of the unit litre and the unit bar;;;kg/(l.bar);kilogram per litre bar;kg l⁻¹ bar⁻¹;kilogram per litre bar;G17;;;0173-1#05-AAA401#003;pressure-based density
milliampere hour;mA·h;product of the 0,001 fold of the SI base unit ampere and the unit hour;;;mA·h;milliampere hour;mA h;milliampere hour;E09;;;0173-1#05-AAA402#003;battery capacity
square foot;ft²;power of the unit foot according to the Anglo-American and the Imperial system of units with the exponent 2;;;ft²;;ft²;square foot;FTK;;;0173-1#05-AAA403#003;surface
pascal second per kelvin;Pa·s/K;product out of the SI derived unit pascal and the SI base unit second divided by the SI base unit kelvin;;;Pa.s/K;pascal second per kelvin;Pa s K⁻¹;pascal second per kelvin;F77;;;0173-1#05-AAA404#003;temperature-based dynamic viscosity
megapascal litre per second;MPa·l/s;product out of the 1000 000 fold of the SI derived unit pascal and the unit litre divided by the SI base unit second;;;MPa.l/s;megapascal litre per second;MPa l s⁻¹;megapascal litre per second;F97;;;0173-1#05-AAA405#003;gas leak rate
kilogram per minute bar;(kg/min)/bar;SI base unit kilogram divided by the product out of the unit minute and the unit bar;;;kg/(min.bar);kilogram per minute bar;kg min⁻¹ bar⁻¹;kilogram per minute bar;F68;;;0173-1#05-AAA406#003;pressure-based mass flow
square metre per joule;m²/J;power of the SI base unit metre with the exponent 2 divided by the SI derived unit joule;;;m²/J;square metre per joule;m² J⁻¹;square metre per joule;D20;;;0173-1#05-AAA407#003;spectral cross-section
pebibit per cubic metre;Pibit/m³;1 125 899 906 842 624 fold of the unit bit divided by the power of the SI base unit metre with the exponent 3;;;Pibit/m³;pebibit per cubic metre;Pibit m⁻³;pebibit per cubic metre;E82;;;0173-1#05-AAA408#003;volumic data quantity
reciprocal kelvin or kelvin to the power minus one;1/K;reciprocal of the SI base unit kelvin;;;1/K;reciprocal kelvin;K⁻¹;reciprocal kelvin or kelvin to the power minus one;C91;;;0173-1#05-AAA409#003;linear expansion coefficient
kilogram metre per second;kg·m/s;product of the SI base unit kilogram and the SI base unit metre divided by the SI base unit second;;;kg·m/s;kilogram metre per second;kg m s⁻¹;kilogram metre per second;B31;;;0173-1#05-AAA410#003;impulse
micrometre;µm;0,000 001 fold of the SI base unit metre;;;µm;micrometre;µm;micrometre;4H;micrometer;;0173-1#05-AAA411#003;distance
röntgen per second;R/s;unit roentgen, the use of which is no longer permitted divided by the SI base unit second;;;R/s;nicht mehr zulässig;R s⁻¹;röntgen per second;D6;;;0173-1#05-AAA412#003;exposure rate of ionizing radiation
joule per kilogram kelvin;(J/K)/kg;SI derived unit joule divided by the product of the SI base unit kilogram and the SI base unit kelvin;;;J/(kg·K);joule per kilogram kelvin;J kg⁻¹ K⁻¹;joule per kilogram kelvin;B11;joule per kilogram kelvin;;0173-1#05-AAA413#003;massic heat capacity
millilitre per square centimetre minute;(ml/min)/cm²;quotient of the 0,001 fold of the unit litre and the unit minute divided by the 0,000 1-fold of the power of the SI base unit metre with the exponent 2;;;;;ml/(cm²·min);millilitre per square centimetre minute;M22;;;0173-1#05-AAA414#004;surface-related volume flow
teraohm;TΩ;1 000 000 000 000 fold of the derived SI unit ohm;;;TΩ;teraohm;TΩ;teraohm;H44;;;0173-1#05-AAA415#004;electrical resistance
microcoulomb per square metre;µC/m²;0,000 001 fold of the SI derived unit coulomb divided by the power of the SI base unit metre with the exponent 2;;;µC/m²;microcoulomb per square metre;µC m⁻²;microcoulomb per square metre;B88;;;0173-1#05-AAA416#003;areic charge density or electric flux density or electric polarization
millisiemens;mS;0,001 fold of the SI derived unit siemens;;;mS;millisiemens;mS;millisiemens;C27;;;0173-1#05-AAA417#003;electrical conductance
tonne per hour;t/h;unit ton divided by the unit for time hour;;;;;t h⁻¹;tonne per hour;E18;;;0173-1#05-AAA418#004;mass flow rate
microtesla;µT;0,000 001 fold of the SI derived unit tesla;;;µT;microtesla;µT;microtesla;D81;;;0173-1#05-AAA420#003;magnetic flux density or magnetic polarization
ounce;oz;unit of the mass according to the avoirdupois system of units with the relation according to NIST: 1 avoirdupois ounce = 28,349 52 grams;NIST Special Publication 811:1995;1 avoirdupois ounce = 16 dram = 437,5 grain = 28,349523125 grams;;;;ounce;ONZ;ounce (avoirdupois);;0173-1#05-AAA421#003;mass
newton centimetre;N·cm;product of the SI derived unit newton and the 0,01 fold of the SI base unit metre;;;N·cm;newton centimetre;N cm;newton centimetre;F88;;;0173-1#05-AAA422#003;torque
kilogram per square metre;kg/m²;SI base unit kilogram divided by the power of the SI base unit metre with the exponent 2;;;kg/m²;kilogram per square metre;kg m⁻²;kilogram per square metre;28;kilogram per square meter;;0173-1#05-AAA423#003;areic mass
pound-force foot per ampere;lbf·ft/A;product of the Anglo-American unit pound-force and foot divided by the SI base unit ampere with the relation according to NIST: 1 lbf·ft/A = 1,355818 N·m/A;;;;;;pound-force foot per ampere;F22;;;0173-1#05-AAA426#003;torque constant
picopascal per kilometre;pPa/km;0,000 000 000 001 fold of the SI derived unit pascal divided by the 1 000 fold of the SI base unit metre;;;pPa/km;picopascal per kilometre;pPa km⁻¹;picopascal per kilometre;H69;;;0173-1#05-AAA427#004;pressure gradient
microhenry per ohm;µH/Ω;0,000 001 fold of the SI derived unit henry divided by the SI derived unit ohm;;;µH/Ω;microhenry per ohm;µH Ω⁻¹;microhenry per ohm;G99;;;0173-1#05-AAA428#003;resistance-based inductance
kilogram per cubic decimetre kelvin;(kg/dm³)/K;SI base unit kilogram divided by the product out of the 0,001 fold of the power of the SI base unit metre with the exponent 3 and the SI base unit kelvin;;;kg/(dm³.K);kilogram per cubic decimetre kelvin;kg dm⁻³ K⁻¹;kilogram per cubic decimetre kelvin;H54;;;0173-1#05-AAA429#004;temperature-based density
gram per cubic decimetre bar;(g/dm³)/bar;0,001 fold of the SI base unit kilogram divided by the product out of the 0,001 fold of the power of the SI base unit metre with the exponent 3 and the unit bar;;;g/(dm³.bar);gram per cubic decimetre bar;g dm⁻³ bar⁻¹;gram per cubic decimetre bar;G12;;;0173-1#05-AAA430#003;pressure-based density
newton metre watt to the power minus 0,5;N·m/√W;product of the SI derived unit newton and the SI base unit metre divided by the square root out of the SI derived unit watt;;;N·m/W0,5;newton metre per watt to the power of 0,5;N m W⁻0,5;newton metre watt to the power minus 0,5;H41;;;0173-1#05-AAA432#004;motor constant
metre per second;m/s;SI base unit metre divided by the SI base unit second;DIN 1301-2, ISO 1000;;m/s;metre per second;m s⁻¹;metre per second;MTS;meter per second;;0173-1#05-AAA434#003;velocity
percent per decakelvin;%/daK;hundredth relating to the 10-fold of the SI base unit Kelvin;;The composed unit %/daK serves to display the dependence of the measurand.;;;% daK⁻¹;percent per decakelvin;H73;;;0173-1#05-AAA435#004;linear expansion coefficient
litre per minute bar;(l/min)/bar;unit litre divided by the product out of the unit minute and the unit bar;;;l/(min.bar);litre per minute bar;l min⁻¹ bar⁻¹;litre per minute bar;G84;;;0173-1#05-AAA436#003;pressure-based volume flow
